ID	Raff_UFBP	Apo_UFBP	median_root2tip	min_raff_root2tip	raff_brlen	raff_dist2root	min_apo_root2tip	apo_brlen	raff_apo_nomophyly
1033	71	NA	0.398435833	0.770873983	0.024504841	8	NA	NA	NA
1034	55	55	0.240727404	0.623613392	0.02083461	5	0.391666787	0.02083461	Y
1035	74	NA	0.325240934	0.73184287	0.068513969	4	NA	NA	NA
1036	23	NA	0.286281238	1.210217519	2.29E-06	8	NA	NA	NA
1037	33	53	0.177261271	0.556726568	0.002704796	8	0.465816849	0.016045971	N
1038	54	86	0.315702893	0.528950342	0.014554261	8	0.569705165	0.028077975	N
1040	44	NA	0.220388385	0.355742711	0.004919702	4	NA	NA	NA
1041	52	18	0.336277028	0.65443243	0.029471246	8	0.739980241	2.48E-06	N
1042	76	70	0.278313541	0.662157575	0.041090122	7	0.496010634	0.036759577	N
1043	89	NA	0.644727405	0.321695547	0.032760267	3	NA	NA	NA
1044	96	96	0.320473415	0.594115295	0.057218528	9	0.755673456	0.057218528	Y
1049	22	NA	2.161538015	2.630301593	0.013079498	6	NA	NA	NA
1051	87	87	0.16203395	0.328825281	0.036962584	9	0.415491443	0.036962584	Y
1057	67	NA	0.309984622	0.528119025	0.040627361	9	NA	NA	NA
1058	82	82	0.301761485	0.776985281	0.047377389	7	0.759471919	0.047377389	Y
1059	25	NA	1.09410612	0.833369076	0.017511636	5	NA	NA	NA
1062	16	24	0.37835691	0.719220627	0.022447503	12	1.146956174	0.018263122	N
1063	64	87	0.243157811	0.401485412	0.010850239	7	0.46195004	0.028723165	N
1064	89	NA	0.302489394	0.622386435	0.072558649	6	NA	NA	NA
1065	35	NA	0.414258949	0.804545672	0.070281656	6	NA	NA	NA
1068	86	8	0.254397306	0.594111196	0.030800851	7	0.532263487	0.003956149	N
1069	85	85	0.281107972	0.482192856	0.018328482	8	0.487803166	0.018328482	Y
1070	43	NA	0.258177161	0.539160776	0.002447148	6	NA	NA	NA
1071	17	80	0.2375877	0.52386096	2.11E-06	7	0.47691191	0.046310702	N
1072	98	54	0.454515045	0.638946709	0.096091081	3	0.732932497	0.037497312	N
1073	49	NA	0.332070065	0.834553246	0.027965145	8	NA	NA	NA
1076	14	60	0.37734053	0.885168923	0.007312439	8	1.084350163	0.081073944	N
1077	59	59	0.2118086	0.403033617	0.013600684	4	0.45071779	0.013600684	Y
1078	90	90	0.318653086	0.562967792	0.066762521	8	0.565517675	0.066762521	Y
1079	37	61	0.544639861	0.811602559	0.044598869	9	0.926276825	0.032443853	N
1080	52	77	0.25249072	0.5253447	0.016926426	6	0.452845673	0.022147455	N
1081	42	NA	0.241010831	0.501112977	0.004364973	7	NA	NA	NA
1082	13	NA	0.337816149	0.767142227	2.00E-06	6	NA	NA	NA
1083	54	NA	0.284104941	0.709773863	0.017066365	6	NA	NA	NA
1086	96	96	0.331886345	0.476956404	0.053867871	10	0.560421127	0.053867871	Y
1087	59	NA	0.307394531	0.584789903	0.016928489	7	NA	NA	NA
1089	45	86	0.332804294	0.610160562	0.011392376	8	0.540358376	0.037479751	N
1090	47	NA	0.275698983	0.539054285	0.02079813	5	NA	NA	NA
1091	34	43	0.283231046	0.544826002	0.021691745	8	0.600862554	0.020739557	N
1092	96	96	0.574476774	0.724446291	0.098662359	7	0.768500619	0.098662359	Y
1096	92	92	0.213822402	0.459390746	0.052609356	8	0.494761514	0.052609356	Y
1097	56	NA	0.346110527	0.956650779	0.013679923	7	NA	NA	NA
1098	44	17	0.232453612	0.455772428	0.011553418	3	0.591475344	2.31E-06	N
1099	23	NA	0.300641553	0.661547783	0.037912768	7	NA	NA	NA
1100	69	91	0.261490162	0.425986788	0.020057515	7	0.41838747	0.034381935	N
1101	67	67	0.319791779	0.612850832	0.018666303	7	0.624649298	0.018666303	Y
1103	56	56	0.34800535	0.673259699	0.037578507	6	0.498484679	0.037578507	Y
1104	95	44	0.298759172	0.483857745	0.021342108	3	0.548912732	0.023461726	N
1105	26	NA	0.633632384	0.859697084	0.012667796	5	NA	NA	NA
1106	55	NA	0.293200273	0.807087651	2.84E-06	9	NA	NA	NA
1107	24	72	0.330999675	0.54073278	0.02655038	7	0.618632058	0.032058282	N
1108	34	76	0.316858295	0.569320558	0.011804627	7	0.507003574	0.042263952	N
1109	58	NA	0.269574273	0.618781665	0.018409796	5	NA	NA	NA
1110	40	NA	0.284394348	0.37040088	0.016472954	6	NA	NA	NA
1111	53	48	0.269198783	0.561604918	0.028588352	8	0.583313237	0.014528628	N
1112	92	92	0.32828789	0.653968586	0.033487983	4	0.555061869	0.033487983	Y
