ID	BP
996	21.0
2196	20.0
357	41.0
496	18.0
1031	34.0
1799	42.0
1951	97.0
1348	0.0
2274	14.0
3042	21.0
1980	84.0
1443	35.0
871	59.0
1353	25.0
1655	22.0
604	57.0
294	3.0
1741	5.0
1955	0.0
2601	33.0
1116	47.0
2967	68.0
2872	53.0
1326	49.0
1760	21.0
1065	34.0
2863	29.0
1465	12.0
2293	18.0
2717	33.0
1350	14.0
1730	42.0
1450	2.0
60	6.0
1624	21.0
2654	34.0
1498	26.0
381	100.0
1840	29.0
2966	71.0
438	4.0
1337	47.0
2667	9.0
436	21.0
1688	15.0
1935	22.0
1107	5.0
1108	10.0
172	29.0
647	44.0
628	44.0
1969	51.0
155	30.0
339	11.0
115	34.0
2438	24.0
1892	15.0
2762	19.0
2631	5.0
2565	45.0
298	19.0
641	1.0
1155	5.0
543	35.0
2206	4.0
57	67.0
1312	70.0
2225	17.0
2825	13.0
2384	36.0
1697	25.0
714	7.0
886	19.0
2588	29.0
1768	n2450405
1677	21.0
447	52.0
1019	3.0
2487	23.0
667	7.0
2923	62.0
1562	38.0
1411	63.0
2231	29.0
833	100.0
2208	81.0
1616	27.0
2638	28.0
1377	27.0
2637	10.0
2753	24.0
2246	18.0
278	71.0
902	33.0
1758	6.0
290	40.0
1177	11.0
2764	29.0
736	n8059042
2283	87.0
960	13.0
392	18.0
2481	75.0
2501	16.0
5	28.0
2679	42.0
1567	32.0
2698	7.0
2382	24.0
86	0.0
679	100.0
850	18.0
2516	36.0
1727	0.0
2343	26.0
2688	73.0
1192	21.0
1438	55.0
2665	11.0
2421	29.0
2785	33.0
1763	37.0
2687	81.0
402	10.0
1073	14.0
821	6.0
1234	44.0
2427	7.0
2954	10.0
1872	43.0
1783	41.0
2624	27.0
218	30.0
687	22.0
2483	9.0
200	23.0
1403	39.0
1900	26.0
1964	31.0
187	12.0
642	20.0
1203	21.0
560	14.0
832	27.0
374	22.0
296	20.0
769	3.0
2243	27.0
183	21.0
576	13.0
2915	33.0
2294	38.0
1899	10.0
94	5.0
1622	24.0
287	3.0
1896	26.0
1827	16.0
2981	18.0
805	20.0
703	16.0
1057	27.0
707	46.0
139	15.0
2848	57.0
131	n937287
1648	32.0
757	12.0
2368	40.0
2938	62.0
106	n179874
6	n7933721
608	4.0
1009	1.0
2271	21.0
2576	58.0
2389	39.0
1199	1.0
808	14.0
195	0.0
2482	22.0
1421	27.0
851	22.0
1668	8.0
2458	16.0
636	11.0
1018	26.0
2635	17.0
752	44.0
588	71.0
2016	3.0
927	32.0
1409	19.0
1147	20.0
315	30.0
2618	29.0
613	5.0
2267	12.0
2623	13.0
853	10.0
2453	49.0
726	2.0
1550	100.0
2692	13.0
2277	16.0
163	21.0
1806	14.0
2445	8.0
1852	14.0
14	47.0
2379	41.0
1375	15.0
1626	51.0
1836	8.0
485	26.0
1990	23.0
2758	0.0
3085	100.0
522	9.0
2174	3.0
1181	19.0
1694	79.0
2494	7.0
62	16.0
442	2.0
1035	25.0
2399	39.0
479	17.0
1236	19.0
100	37.0
